% Model:              CilindroCono.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 1 2021, 00:36
% Dimension:          1
% Nodes:              120
% Expressions:        1
% Description:        Grafico a punti
% R                       Height
10                        12.841280780051937
20                        20.856768427036673
30                        28.240066440524576
40                        34.08334041224124
50                        39.69162790627303
60                        46.27840443956357
70                        54.6388706075062
80                        65.58727968917438
90                        80.43070279170517
100                       101.77277773641148
110                       135.71643494969777
120                       200.39967375492108
130                       383.02221103932806
140                       7191.574690933271
150                       394.2087216847435
160                       179.67771002698518
170                       109.0689410458635
180                       72.93275491479736
190                       50.32159094110431
200                       34.359700999984504
210                       22.109452610599362
220                       12.092206047885576
230                       3.529384046012095
240                       4.5723084146433495
250                       11.925974820684178
260                       19.244294390813785
270                       26.813503169756693
280                       35.014313572094416
290                       44.371407393270154
300                       55.702258670072084
310                       70.44503515534417
320                       91.49590056093065
330                       125.8348107515866
340                       195.91534311221812
350                       436.9091912386898
360                       1664.154595332728
370                       272.42564141291456
380                       141.90408981266452
390                       91.75039956504821
400                       64.60973499906905
410                       47.1972022275248
420                       34.77997638988422
430                       25.24001644045503
440                       17.4785124012975
450                       10.861413555696467
460                       5.006429840490996
470                       1.1085284422252957
480                       5.88398964596017
490                       11.08925649894805
500                       16.518590469766586
510                       22.407145581219822
520                       29.09629723638262
530                       37.11535439754251
540                       47.37557226048428
550                       61.6484341218122
560                       83.97349504098163
570                       126.13075805347646
580                       243.6166279643489
590                       3404.1510349543214
600                       274.6007770992741
610                       127.37080466112307
620                       79.86369924083422
630                       55.82529827511492
640                       40.937973899359235
650                       30.54176754215797
660                       22.65868492718371
670                       16.29869242625388
680                       10.904941435669045
690                       6.1394916043701535
700                       1.882771915078721
710                       2.7530502213310024
720                       6.876213238013926
730                       11.211922620820163
740                       15.89188374179675
750                       21.16207342419861
760                       27.40092144915358
770                       35.24305741120995
780                       45.87822055312495
790                       61.88051081392516
800                       90.13059220511026
810                       157.4903054998234
820                       577.5826906599463
830                       341.5457596449642
840                       128.24499885146204
850                       76.48509620074874
860                       52.585026033029585
870                       38.45842521151826
880                       28.870609808690865
890                       21.73868782539777
900                       16.063519449786828
910                       11.3001537242686
920                       7.12248227808472
930                       3.3409348183260117
940                       0.9833838290431075
950                       4.142669359704065
960                       7.799231228366443
970                       11.726512081178383
980                       16.101273187482242
990                       21.204759145756398
1000                      27.496669083247383
1010                      35.80672484832715
1020                      47.83761813763577
1030                      67.77869826899557
1040                      109.56634025826506
1050                      265.15256826931443
1060                      659.3555540627516
1070                      144.35605295963052
1080                      78.95721879021735
1090                      52.682728061564724
1100                      38.13215292466795
1110                      28.63163669577716
1120                      21.746610718484828
1130                      16.371369850902262
1140                      11.925905492521526
1150                      8.072262135652021
1160                      4.602558029540601
1170                      1.4931225505246755
1180                      2.1799586319931437
1190                      5.342257275926389
1200                      8.75655341686689
