% Model:              CONO3D.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 4 2021, 12:37
% Dimension:          1
% Nodes:              91
% Expressions:        1
% Description:        Grafico tabella
%                         
100                       2.21205533820504
110                       2.5378867193502463
120                       2.89752048562866
130                       3.3054005983908565
140                       3.7839055552635505
150                       4.368253439929209
160                       5.118045615801356
170                       6.1481236945722575
180                       7.722757303402945
190                       10.509666186775561
200                       12.173428730598173
210                       17.41794419493119
220                       9.812574214537058
230                       4.208268127524346
240                       0.7090648391153145
250                       0.06959765694724394
260                       0.740125686568053
270                       1.5069457341137253
280                       2.27503716915545
290                       3.063928668824075
300                       3.850343279458977
310                       4.702303652357098
320                       5.690619082478039
330                       6.785168391294579
340                       8.04587551475062
350                       9.791110744369854
360                       12.517144171516396
370                       12.659731573337861
380                       13.852652205880023
390                       12.52045577093843
400                       8.563472279126625
410                       4.914151815622186
420                       1.992102770711425
430                       0.3613329869872927
440                       0.05645164538880073
450                       0.5040603576856544
460                       1.2545359854249245
470                       2.0812945143261987
480                       3.0414095491190056
490                       4.06787472341135
500                       5.177669312009457
510                       6.469142205902586
520                       7.986114242530496
530                       9.585277297802438
540                       11.89404264232794
550                       13.216024269328656
560                       14.893709431896184
570                       16.164224164733245
580                       13.508055730299155
590                       9.633951836731834
600                       6.12286938099065
610                       2.8914379109716286
620                       0.7693727171743224
630                       0.09110073366640545
640                       0.1728166033760552
650                       0.7538922513317893
660                       1.6686819254476764
670                       2.4403553997897225
680                       3.3824804183003274
690                       4.4167753197239055
700                       5.520038768858731
710                       6.699506189872975
720                       8.034537822475228
730                       9.4600067471878
740                       9.788208727531222
750                       10.483977342583085
760                       11.522692304508164
770                       11.821648059116157
780                       10.059186430613812
790                       7.878255023982535
800                       5.135049306641004
810                       2.3166235592643005
820                       0.6690447001654917
830                       0.09018350302870592
840                       0.1748448019439773
850                       0.7279176835111656
860                       1.7229556094611396
870                       2.656733506165099
880                       3.6838258518920886
890                       4.772823003209857
900                       5.87607690833932
910                       6.9366263640944625
920                       7.74399311453131
930                       7.83454495086151
940                       7.981050109552466
950                       8.099433804020476
960                       8.089473238170857
970                       7.760517251307349
980                       6.620466268616171
990                       4.8559190429829995
1000                      3.0280640620473465
